Road,S Ref E,S Ref N,Score
C,561841,186348,-1
C,563128,253985,-1
C,563553,104811,-1
C,565350,143650,-1
C,566203,116001,-1
C,566438,231783,-1
C,566962,213172,-1
C,568371,213124,-1
C,568910,161104,-1
C,569137,209682,-1
C,570288,234602,-1
C,570708,258334,-1
C,571250,126286,-1
C,571860,162603,-1
C,572034,227786,-1
C,572096,240873,-1
C,573009,330704,-1
C,573275,174245,-1
C,573578,171974,-1
C,576060,113730,-1
C,576085,153453,-1
C,577968,321993,-1
C,578305,186593,-1
C,579329,340705,-1
C,579468,124307,-1
C,583595,231146,-1
C,584243,147497,-1
C,584779,227632,-1
C,586919,220850,-1
C,588219,121696,-1
C,589034,239333,-1
C,590679,215058,-1
C,591638,266276,-1
C,591703,225319,-1
C,592016,188141,-1
C,592320,280910,-1
C,592655,275500,-1
C,595778,318007,-1
C,596623,140640,-1
C,597848,305634,-1
C,600283,138604,-1
C,601583,311469,-1
C,602030,270939,-1
C,602040,212420,-1
C,604025,230579,-1
C,605225,137485,-1
C,606091,143606,-1
C,607370,132559,-1
C,607901,159240,-1
C,610231,320780,-1
C,610981,139297,-1
C,612513,146658,-1
C,612658,143842,-1
C,613496,321206,-1
C,616006,147686,-1
C,620277,252474,-1
C,625105,249926,-1
C,628212,142193,-1
C,628920,252266,-1
C,629640,269697,-1
C,637291,274098,-1
C,647168,277308,-1
C,651550,286870,-1
C0002,283960,255170,-1
C110,490200,423900,-1
C1142,375000,250000,-1
C122,467543,149363,-1
C13,500427,282498,-1
C130,598316,297083,-1
C132,515000,232000,-1
C134,408597,380751,-1
C137,396100,172000,-1
C14,270300,74100,-1
C166,443900,442750,-1
C167,145261,31257,-1
C169,333695,92285,-1
C175,618637,305156,-1
C178,273160,70632,-1
C2002,396000,280000,-1
C2017,289220,307350,-1
C2025,308113,289176,-1
C2027,382380,251370,-1
C203,623953,300321,-1
C2041,311860,305910,-1
C2109,389197,246894,-1
C2116,399027,240360,-1
C2146,387549,267683,-1
C2260,379992,246370,-1
C2279,374420,254733,-1
C260,610381,323023,-1
C272,223030,115170,-1
C285,419761,137331,-1
C29,300283,107947,-1
C3,489140,258729,-1
C3059,366460,520820,-1
C31,406090,526055,-1
C323,621600,249600,-1
C329,417200,229500,-1
C386,639653,300049,-1
C395,390110,162324,-1
C4,472100,266000,-1
C43,375076,336425,-1
C468,255000,104539,-1
C48,288769,103239,-1
C527,537653,381245,-1
C541,235000,82530,-1
C56,470736,353562,-1
C568,633897,290447,-1
C58,434635,355033,-1
C60,460353,328762,-1
C615,526380,393590,-1
C637,602123,331831,-1
C64,468816,211367,-1
C65,575830,315732,-1
C67C,382000,820000,-1
C72,571204,322753,-1
C7308,482670,331690,-1
C74,505117,198002,-1
C75,431698,97098,-1
C7607,457530,279950,-1
C8,559980,308830,-1
C80,468879,161333,-1
C81,394744,356948,-1
U13619,385204,274095,-1
B3205,290165,53330,-1
C,296750,676850,-1
C,431182,228718,-1
C,587555,287985,-1
C1061,315530,278290,-1
C1339,306510,261140,-1
C2008,322112,296225,-1
C2195,377674,272818,-1
C233,400350,326250,-1
C369,402330,308250,-1
C397,629476,327784,-1
C4004,306282,515222,-1
C473,569533,327445,-1
C5503,464340,293060,-1
C96,414200,386097,-1
CU,625504,336823,-1
U,145840,32710,-1
U,166300,27664,-1
