Road,S Ref E,S Ref N,FdCar,Score
U,422000,435214,1,0.00010154
U,422024,538097,0,0
U,422122,428513,0,0
U,422249,565294,1,0.00010154
U,422455,427330,0,0
U,422495,417382,0,0
B6317,422669,560846,7,0.000710781
U,422675,290753,0,0
U,422734,428504,0,0
C,422932,295232,14,0.001421561
B5056,423014,362282,14,0.001421561
U,423081,542335,0,0
U,423251,292941,2,0.00020308
C,423291,248875,9,0.000913861
U,423358,203880,0,0
U,423388,564562,0,0
U,423421,567756,4,0.00040616
U,423427,438375,0,0
B6123,423482,424016,14,0.001421561
C,423764,180488,4,0.00040616
C,423794,348099,1,0.00010154
U,423879,324766,0,0
U,423914,570223,1,0.00010154
U,424055,277779,0,0
U,424154,277196,0,0
U,424201,188948,0,0
B3058,424224,98192,19,0.001929262
B1318,424261,569436,26,0.002640042
U,424294,438631,2,0.00020308
U,424296,563287,11,0.001116941
U,424371,424571,0,0
B601,424390,561680,37,0.003756983
U,424465,422305,0,0
U,424485,279092,2,0.00020308
C,424549,390827,0,0
C,424714,295893,3,0.00030462
U,424802,561433,0,0
C,424849,339509,2,0.00020308
U,424950,374096,0,0
U,425080,433978,0,0
B6154,425103,433348,4,0.00040616
C,425143,293233,0,0
U,425153,564554,2,0.00020308
U,425214,439065,0,0
C,425218,559949,3,0.00030462
U,425248,320635,0,0
U,425330,562632,0,0
C,425568,567541,1,0.00010154
U,425589,567569,0,0
U,425769,426761,1,0.00010154
U,425778,439183,0,0
U,425825,566575,0,0
C,425832,150965,0,0
U,425832,436389,0,0
U,425838,241107,0,0
C,425997,401373,0,0
U,426320,565677,0,0
U,426339,398378,0,0
U,426368,559975,0,0
U,426650,560110,0,0
U,426698,428650,0,0
U,426724,566572,0,0
U,426868,544275,0,0
U,426878,568894,0,0
U,426882,533929,2,0.00020308
U,426970,542690,2,0.00020308
U,427059,564956,6,0.00060924
U,427162,587259,0,0
U,427320,99619,3,0.00030462
U,427425,525717,0,0
U,427435,323571,2,0.00020308
U,427470,206280,2,0.00020308
U,427479,397716,0,0
U,427555,514105,0,0
B4098,427593,288370,12,0.001218481
B1314,427620,564319,21,0.002132342
C,427651,569960,9,0.000913861
U,427736,431687,2,0.00020308
U,427795,317557,3,0.00030462
C,427842,587150,3,0.00030462
U,427882,558123,0,0
U,427929,421422,6,0.00060924
B4192,427933,173567,16,0.001624641
U,427971,568645,0,0
B3079,428001,113760,13,0.001320021
B4086,428037,255415,10,0.001015401
U,428046,207874,0,0
U,428060,426671,30,0.003046202
U,428079,515462,0,0
B4102,428096,287317,13,0.001320021
U,428096,435140,0,0
U,428122,287094,0,0
U,428160,550699,9,0.000913861
U,428175,435679,1,0.00010154
C,428257,269471,2,0.00020308
U,428310,278411,3,0.00030462
B3055,428477,99235,8,0.000812321
U,428600,570253,0,0
B4437,428606,216370,7,0.000710781
U,428624,313355,0,0
U,428722,543098,0,0
U,428732,312896,0,0
B5036,428749,354621,12,0.001218481
U,428931,562320,0,0
C,429072,119550,2,0.00020308
U,429083,574286,1,0.00010154
U,429091,513763,0,0
U,429201,353059,0,0
B6157,429231,437749,6,0.00060924
U,429251,560620,0,0
B5000,429258,300739,3,0.00030462
U,429266,265301,2,0.00020308
U,429313,561359,0,0
U,429326,554889,1,0.00010154
U,429330,561674,0,0
U,429364,280864,0,0
C,429388,127507,0,0
U,429414,279728,0,0
U,429552,516952,0,0
C,429626,564416,12,0.001218481
U,429742,101421,0,0
U,429774,456255,4,0.00040616
B1322,429859,572236,11,0.001116941
U,429861,433694,5,0.0005077
B6128,429921,418434,29,0.002944662
C,429952,287162,0,0
U,429979,567922,3,0.00030462
